84: constrained_branching='1', dom_opt='0', f_clique_lb='31', f_clique_lb_c='18', f_deg2='90', f_deg2_heur='35', f_deg3='2', f_dom='49', f_lp='89', f_lp_lb='60', f_lp_lb_c='10', lb_opt='0', lb_opt_c='1', limit_kern_branch='317', limit_kern_start='499'
85: constrained_branching='1', dom_opt='0', f_clique_lb='64', f_clique_lb_c='12', f_deg2='42', f_deg2_heur='56', f_deg3='72', f_dom='5', f_lp='5', f_lp_lb='14', f_lp_lb_c='16', lb_opt='1', lb_opt_c='0', limit_kern_branch='307', limit_kern_start='97'
86: constrained_branching='1', dom_opt='1', f_clique_lb='6', f_clique_lb_c='7', f_deg2='20', f_deg2_heur='80', f_deg3='20', f_dom='44', f_lp='35', f_lp_lb='88', f_lp_lb_c='15', lb_opt='0', lb_opt_c='0', limit_kern_branch='77', limit_kern_start='319'
87: constrained_branching='1', dom_opt='1', f_clique_lb='31', f_clique_lb_c='18', f_deg2='90', f_deg2_heur='35', f_deg3='2', f_dom='49', f_lp='89', f_lp_lb='96', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='433', limit_kern_start='499'
88: constrained_branching='1', dom_opt='1', f_clique_lb='60', f_clique_lb_c='18', f_deg2='55', f_deg2_heur='58', f_deg3='2', f_dom='84', f_lp='96', f_lp_lb='51', f_lp_lb_c='20', lb_opt='1', lb_opt_c='1', limit_kern_branch='384', limit_kern_start='188'
89: constrained_branching='1', dom_opt='1', f_clique_lb='69', f_clique_lb_c='4', f_deg2='18', f_deg2_heur='61', f_deg3='29', f_dom='52', f_lp='89', f_lp_lb='42', f_lp_lb_c='14', lb_opt='0', lb_opt_c='0', limit_kern_branch='489', limit_kern_start='438'
90: constrained_branching='1', dom_opt='1', f_clique_lb='49', f_clique_lb_c='5', f_deg2='35', f_deg2_heur='68', f_deg3='76', f_dom='13', f_lp='59', f_lp_lb='100', f_lp_lb_c='6', lb_opt='0', lb_opt_c='1', limit_kern_branch='92', limit_kern_start='159'
91: constrained_branching='1', dom_opt='0', f_clique_lb='16', f_clique_lb_c='1', f_deg2='81', f_deg2_heur='71', f_deg3='32', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='0', lb_opt_c='1', limit_kern_branch='365', limit_kern_start='239'
92: constrained_branching='0', dom_opt='1', f_clique_lb='35', f_clique_lb_c='15', f_deg2='70', f_deg2_heur='85', f_deg3='24', f_dom='82', f_lp='23', f_lp_lb='12', f_lp_lb_c='7', lb_opt='1', lb_opt_c='0', limit_kern_branch='305', limit_kern_start='467'
93: constrained_branching='1', dom_opt='0', f_clique_lb='31', f_clique_lb_c='18', f_deg2='90', f_deg2_heur='51', f_deg3='2', f_dom='49', f_lp='89', f_lp_lb='60', f_lp_lb_c='14', lb_opt='0', lb_opt_c='0', limit_kern_branch='317', limit_kern_start='499'
94: constrained_branching='0', dom_opt='0', f_clique_lb='98', f_clique_lb_c='5', f_deg2='86', f_deg2_heur='79', f_deg3='92', f_dom='1', f_lp='85', f_lp_lb='83', f_lp_lb_c='5', lb_opt='1', lb_opt_c='0', limit_kern_branch='481', limit_kern_start='484'
95: constrained_branching='1', dom_opt='0', f_clique_lb='79', f_clique_lb_c='6', f_deg2='63', f_deg2_heur='54', f_deg3='80', f_dom='85', f_lp='96', f_lp_lb='12', f_lp_lb_c='2', lb_opt='1', lb_opt_c='0', limit_kern_branch='109', limit_kern_start='183'
96: constrained_branching='0', dom_opt='0', f_clique_lb='93', f_clique_lb_c='2', f_deg2='74', f_deg2_heur='83', f_deg3='78', f_dom='82', f_lp='26', f_lp_lb='26', f_lp_lb_c='20', lb_opt='0', lb_opt_c='0', limit_kern_branch='375', limit_kern_start='13'
97: constrained_branching='1', dom_opt='1', f_clique_lb='84', f_clique_lb_c='3', f_deg2='18', f_deg2_heur='61', f_deg3='29', f_dom='52', f_lp='89', f_lp_lb='42', f_lp_lb_c='16', lb_opt='0', lb_opt_c='0', limit_kern_branch='489', limit_kern_start='438'
