85: constrained_branching='0', dom_opt='1', f_clique_lb='34341', f_deg2='27767', f_deg2_heur='14141', f_deg3='39874', f_dom='27007', f_lp='551', f_lp_lb='33716', limit_kern_branch='2074', limit_kern_start='4256'
86: constrained_branching='0', dom_opt='1', f_clique_lb='3354', f_deg2='10771', f_deg2_heur='15605', f_deg3='13559', f_dom='12671', f_lp='8352', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='17344'
87: constrained_branching='1', dom_opt='0', f_clique_lb='24758', f_deg2='19786', f_deg2_heur='2623', f_deg3='30330', f_dom='17639', f_lp='1766', f_lp_lb='4042', limit_kern_branch='37672', limit_kern_start='29877'
88: constrained_branching='1', dom_opt='1', f_clique_lb='14924', f_deg2='14148', f_deg2_heur='1370', f_deg3='4749', f_dom='23940', f_lp='35434', f_lp_lb='33912', limit_kern_branch='39105', limit_kern_start='33262'
89: constrained_branching='1', dom_opt='1', f_clique_lb='29014', f_deg2='9910', f_deg2_heur='4847', f_deg3='2699', f_dom='18203', f_lp='19065', f_lp_lb='5686', limit_kern_branch='151', limit_kern_start='31606'
90: constrained_branching='0', dom_opt='1', f_clique_lb='33903', f_deg2='23828', f_deg2_heur='25101', f_deg3='32733', f_dom='24571', f_lp='1345', f_lp_lb='8303', limit_kern_branch='28641', limit_kern_start='25158'
91: constrained_branching='0', dom_opt='0', f_clique_lb='2002', f_deg2='15810', f_deg2_heur='36858', f_deg3='1936', f_dom='15690', f_lp='23980', f_lp_lb='33058', limit_kern_branch='36561', limit_kern_start='24625'
92: constrained_branching='1', dom_opt='0', f_clique_lb='34731', f_deg2='3241', f_deg2_heur='13350', f_deg3='20123', f_dom='25383', f_lp='4094', f_lp_lb='3389', limit_kern_branch='6152', limit_kern_start='29090'
93: constrained_branching='1', dom_opt='0', f_clique_lb='6643', f_deg2='8785', f_deg2_heur='28463', f_deg3='24881', f_dom='6302', f_lp='38198', f_lp_lb='30461', limit_kern_branch='1087', limit_kern_start='22759'
94: constrained_branching='0', dom_opt='0', f_clique_lb='1239', f_deg2='31815', f_deg2_heur='615', f_deg3='23099', f_dom='38837', f_lp='661', f_lp_lb='2896', limit_kern_branch='36780', limit_kern_start='8781'
95: constrained_branching='1', dom_opt='1', f_clique_lb='10470', f_deg2='17094', f_deg2_heur='2218', f_deg3='16035', f_dom='28033', f_lp='12206', f_lp_lb='21217', limit_kern_branch='36224', limit_kern_start='37388'
96: constrained_branching='0', dom_opt='1', f_clique_lb='32016', f_deg2='862', f_deg2_heur='16080', f_deg3='8009', f_dom='18908', f_lp='8829', f_lp_lb='20078', limit_kern_branch='20799', limit_kern_start='30873'
97: constrained_branching='0', dom_opt='1', f_clique_lb='3354', f_deg2='2768', f_deg2_heur='17899', f_deg3='19552', f_dom='9522', f_lp='10117', f_lp_lb='3659', limit_kern_branch='5909', limit_kern_start='17344'
98: constrained_branching='0', dom_opt='1', f_clique_lb='32301', f_deg2='16221', f_deg2_heur='34372', f_deg3='36643', f_dom='28987', f_lp='9153', f_lp_lb='28311', limit_kern_branch='35486', limit_kern_start='1107'
99: constrained_branching='1', dom_opt='1', f_clique_lb='32840', f_deg2='16954', f_deg2_heur='931', f_deg3='6557', f_dom='16072', f_lp='15845', f_lp_lb='30988', limit_kern_branch='25214', limit_kern_start='36650'
100: constrained_branching='1', dom_opt='0', f_clique_lb='10005', f_deg2='1715', f_deg2_heur='22679', f_deg3='4591', f_dom='34005', f_lp='10493', f_lp_lb='15535', limit_kern_branch='7322', limit_kern_start='24821'
101: constrained_branching='0', dom_opt='1', f_clique_lb='3354', f_deg2='2768', f_deg2_heur='20637', f_deg3='19552', f_dom='9522', f_lp='10117', f_lp_lb='3659', limit_kern_branch='5909', limit_kern_start='17344'
102: constrained_branching='1', dom_opt='0', f_clique_lb='15217', f_deg2='6787', f_deg2_heur='14885', f_deg3='18356', f_dom='23879', f_lp='26916', f_lp_lb='22301', limit_kern_branch='23874', limit_kern_start='8300'
103: constrained_branching='0', dom_opt='1', f_clique_lb='25570', f_deg2='33396', f_deg2_heur='17183', f_deg3='17165', f_dom='28411', f_lp='12487', f_lp_lb='2719', limit_kern_branch='5948', limit_kern_start='35643'
