72: constrained_branching='1', dom_opt='1', f_clique_lb='60', f_clique_lb_c='7', f_deg2='23', f_deg2_heur='77', f_deg3='95', f_dom='70', f_lp='57', f_lp_lb='17', f_lp_lb_c='4', lb_opt='1', lb_opt_c='0', limit_kern_branch='295', limit_kern_start='87'
73: constrained_branching='1', dom_opt='1', f_clique_lb='43', f_clique_lb_c='20', f_deg2='47', f_deg2_heur='71', f_deg3='75', f_dom='36', f_lp='13', f_lp_lb='39', f_lp_lb_c='6', lb_opt='1', lb_opt_c='0', limit_kern_branch='173', limit_kern_start='330'
74: constrained_branching='0', dom_opt='1', f_clique_lb='68', f_clique_lb_c='10', f_deg2='38', f_deg2_heur='23', f_deg3='78', f_dom='47', f_lp='27', f_lp_lb='30', f_lp_lb_c='19', lb_opt='1', lb_opt_c='0', limit_kern_branch='141', limit_kern_start='392'
75: constrained_branching='1', dom_opt='1', f_clique_lb='26', f_clique_lb_c='2', f_deg2='76', f_deg2_heur='68', f_deg3='88', f_dom='2', f_lp='33', f_lp_lb='6', f_lp_lb_c='15', lb_opt='0', lb_opt_c='0', limit_kern_branch='162', limit_kern_start='11'
76: constrained_branching='0', dom_opt='1', f_clique_lb='68', f_clique_lb_c='10', f_deg2='38', f_deg2_heur='23', f_deg3='47', f_dom='15', f_lp='27', f_lp_lb='67', f_lp_lb_c='19', lb_opt='1', lb_opt_c='0', limit_kern_branch='141', limit_kern_start='392'
77: constrained_branching='0', dom_opt='1', f_clique_lb='47', f_clique_lb_c='6', f_deg2='95', f_deg2_heur='58', f_deg3='35', f_dom='35', f_lp='50', f_lp_lb='11', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='278', limit_kern_start='369'
78: constrained_branching='1', dom_opt='1', f_clique_lb='10', f_clique_lb_c='8', f_deg2='57', f_deg2_heur='4', f_deg3='86', f_dom='8', f_lp='2', f_lp_lb='67', f_lp_lb_c='16', lb_opt='1', lb_opt_c='0', limit_kern_branch='401', limit_kern_start='76'
79: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='11', f_deg2='49', f_deg2_heur='64', f_deg3='80', f_dom='67', f_lp='40', f_lp_lb='30', f_lp_lb_c='20', lb_opt='0', lb_opt_c='1', limit_kern_branch='354', limit_kern_start='195'
80: constrained_branching='0', dom_opt='1', f_clique_lb='68', f_clique_lb_c='11', f_deg2='96', f_deg2_heur='23', f_deg3='52', f_dom='11', f_lp='42', f_lp_lb='67', f_lp_lb_c='19', lb_opt='1', lb_opt_c='0', limit_kern_branch='141', limit_kern_start='392'
81: constrained_branching='0', dom_opt='0', f_clique_lb='77', f_clique_lb_c='11', f_deg2='67', f_deg2_heur='37', f_deg3='99', f_dom='76', f_lp='4', f_lp_lb='41', f_lp_lb_c='8', lb_opt='0', lb_opt_c='0', limit_kern_branch='274', limit_kern_start='78'
82: constrained_branching='1', dom_opt='1', f_clique_lb='1', f_clique_lb_c='7', f_deg2='19', f_deg2_heur='61', f_deg3='62', f_dom='30', f_lp='24', f_lp_lb='10', f_lp_lb_c='9', lb_opt='0', lb_opt_c='1', limit_kern_branch='66', limit_kern_start='486'
83: constrained_branching='0', dom_opt='0', f_clique_lb='40', f_clique_lb_c='9', f_deg2='58', f_deg2_heur='93', f_deg3='83', f_dom='26', f_lp='95', f_lp_lb='7', f_lp_lb_c='7', lb_opt='1', lb_opt_c='1', limit_kern_branch='261', limit_kern_start='122'
84: constrained_branching='0', dom_opt='0', f_clique_lb='68', f_clique_lb_c='10', f_deg2='38', f_deg2_heur='23', f_deg3='78', f_dom='11', f_lp='27', f_lp_lb='67', f_lp_lb_c='19', lb_opt='1', lb_opt_c='0', limit_kern_branch='328', limit_kern_start='392'
85: constrained_branching='1', dom_opt='0', f_clique_lb='47', f_clique_lb_c='4', f_deg2='16', f_deg2_heur='51', f_deg3='52', f_dom='66', f_lp='1', f_lp_lb='11', f_lp_lb_c='16', lb_opt='1', lb_opt_c='0', limit_kern_branch='8', limit_kern_start='10'
86: constrained_branching='0', dom_opt='1', f_clique_lb='10', f_clique_lb_c='8', f_deg2='57', f_deg2_heur='4', f_deg3='51', f_dom='8', f_lp='2', f_lp_lb='67', f_lp_lb_c='16', lb_opt='0', lb_opt_c='0', limit_kern_branch='440', limit_kern_start='76'
87: constrained_branching='0', dom_opt='1', f_clique_lb='43', f_clique_lb_c='18', f_deg2='32', f_deg2_heur='39', f_deg3='57', f_dom='42', f_lp='84', f_lp_lb='95', f_lp_lb_c='20', lb_opt='0', lb_opt_c='1', limit_kern_branch='40', limit_kern_start='60'
88: constrained_branching='1', dom_opt='0', f_clique_lb='68', f_clique_lb_c='10', f_deg2='38', f_deg2_heur='23', f_deg3='78', f_dom='11', f_lp='27', f_lp_lb='26', f_lp_lb_c='19', lb_opt='1', lb_opt_c='0', limit_kern_branch='328', limit_kern_start='392'
